Tahun,Provinsi,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir,temperature_2m_mean (°C),rain_sum (mm)
2021,Nusa Tenggara Timur,187,47,232,54709.0,51402,4733,60,26.210479767123285,5.942465756273973
2021,Papua,0,0,0,178.0,3232,18,20,20.29382419452055,30.914246611506847
2021,Papua Barat,0,0,0,0.0,36,2,5,21.522477128767125,15.688767196684932
2021,Riau,0,0,0,4730.0,7003,22,68,26.22607286849315,6.066849347178081
2021,Sulawesi Barat,2,1,2,46.0,1185,5,25,16.540958894520546,12.398356154465752
2021,Sulawesi Selatan,5,1,20,854.0,43980,62,73,24.53482884931507,10.36082189819178
2021,Sulawesi Tengah,0,0,8,715.0,4526,46,128,18.92735152876712,17.74054808958904
2021,Sulawesi Tenggara,4,0,0,84.0,1480,24,39,25.68190616438356,9.566849358
2021,Sulawesi Utara,10,1,1,483.0,10852,20,23,25.270114284931505,7.922465786082192
2021,Sumatera Barat,10,0,482,74.0,23727,37,58,23.59910951780822,5.863287616849315
2021,Sumatera Selatan,2,0,4,267.0,8120,12,39,26.220799002739724,6.263561651397261
2021,Sumatera Utara,9,2,2,799.0,146731,94,84,20.04235160547945,8.390684886465754
2021,Yogyakarta,0,0,0,0.0,132,4,6,25.27635837808219,6.361095891178082
2022,Aceh,10,2,0,421.0,107772,22,111,21.11513700273973,10.742191852438356
2022,Bali,5,0,3,153.0,4192,7,11,24.23352727945205,10.048493324164385
2022,Banten,6,2,0,153.0,43490,21,52,25.620741917808218,8.96630138539726
2022,Bengkulu,0,0,3,22.0,16457,23,36,25.71433780547945,7.492054860383561
2022,Gorontalo,0,0,0,5.0,9188,1,32,22.860376679452056,15.535890705534246
2022,Jakarta Raya,3,0,4,1.0,1346,1,20,26.2606849369863,5.718630192739727
2022,Jambi,0,0,0,0.0,7839,0,5,26.15929229041096,7.056712397753425
2022,Jawa Barat,17,4,16,2410.0,79702,215,194,19.992659909589044,11.387671514931506
2022,Jawa Tengah,12,0,17,3087.0,222949,40,183,25.034942852054797,7.423561616520548
2022,Jawa Timur,10,0,5,742.0,95217,34,158,25.92054791780822,6.025205534465753
2022,Kalimantan Barat,1,0,2,7.0,113504,119,40,25.59074200547945,9.137534235452057
2022,Kalimantan Selatan,1,0,0,6.0,30136,4,55,24.903013698630136,8.135616438356164
2022,Kalimantan Tengah,2,0,0,0.0,60445,0,47,26.04920094520548,9.449589067041096
2022,Kalimantan Timur,2,0,3,1.0,72554,0,28,26.279999923287672,7.89506857120548
2022,Kalimantan Utara,0,0,0,22.0,6103,5,13,24.00042241369863,11.110136984383562
2022,Kepulauan Bangka Belitung,0,0,0,0.0,111,0,6,26.359486295890413,9.67095898679452
2022,Kepulauan Riau,0,0,1,2.0,1496,2,3,26.86082186849315,9.641369942465754
2022,Lampung,5,0,0,42.0,7434,5,37,26.07149538630137,8.071780791890411
2022,Maluku,7,0,3,43.0,3474,1,19,22.832887997260272,10.74438379950685
2022,Maluku Utara,1,0,0,62.0,3882,5,34,24.410308049315063,15.959452088027396
2022,Nusa Tenggara Barat,1,0,0,696.0,3892,6,27,24.780947339726023,6.967945340821918
2022,Nusa Tenggara Timur,5,2,0,455.0,5707,32,32,25.72833321369863,6.230137066000001
2022,Papua,8,0,17,1817.0,1544,0,6,20.462203210958904,24.207123178356166
2022,Papua Barat,3,0,10,258.0,623,2,19,21.472305967123287,15.41534253989041
2022,Riau,0,0,0,18.0,8541,0,42,26.144109361643835,7.096712392438356
2022,Sulawesi Barat,1,1,0,630.0,16816,22,29,16.49896115890411,11.83479468339726
2022,Sulawesi Selatan,4,1,1,90.0,33041,19,54,24.523641534246572,10.821918100931509
2022,Sulawesi Tengah,8,4,0,627.0,11428,26,93,18.809349339726023,19.03479478539726
2022,Sulawesi Tenggara,4,0,3,57.0,1180,1,17,25.609314928767123,9.195068612547946
2022,Sulawesi Utara,4,0,0,41.0,5296,0,28,25.2304109260274,8.651506886136985
2022,Sumatera Barat,0,3,0,254.0,8392,12,25,23.747728367123287,6.234246560904109
2022,Sumatera Selatan,0,0,1,26.0,13010,3,38,26.069326323287672,7.255616451835617
2022,Sumatera Utara,7,1,1,10.0,123502,2,71,20.008561673972604,9.095616603452054
2022,Yogyakarta,1,2,0,64.0,622,10,7,25.06412096438356,6.193150586328767
