Data Bencana;;;;;;;;;;;;;;;
No.;Kode Identitas Bencana;ID Kabupaten;Tanggal Kejadian;Kejadian;Lokasi;Kabupaten;Provinsi;Kronologi & Dokumentasi;Penyebab;Meninggal;Hilang;Terluka;Rumah Rusak;Rumah Terendam;Fasum Rusak
66;7205 101 2023 09 019 1;7205;19/09/23;BANJIR;Kec. Banawa Selatan Ds. Bambarini;DONGGALA;SULAWESI TENGAH;Dokumentasi;Hujan dengan intensitas tinggi;;;;0;50;0
67;1904 107 2023 09 019 1;1904;19/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Pangkalan Baru Ds. Dul;BANGKA TENGAH;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Dalam penyelidikan;;;;0;;0
68;8104 107 2023 09 019 1;8104;19/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Namlea Ds. Namlea;BURU;MALUKU;Dokumentasi;Masih dalam proses penyelidikan;;;;0;;0
69;1101 101 2023 09 019 1;1101;19/09/23;BANJIR;Kec. Simeulue Timur Ds. Suak Buluh Ds. Air Dingin Kec. Teupah Tengah Ds. Labuah Ds. Nancawas Ds. Avail Ds. Simpang Abail Ds. Sua Sua Ds. Situbuk Kec. Teupah Barat Ds, Awel Seubel Ds. Lantik Ds. Awel Kecil Kec. Salang Ds. Pantonlawe;SIMEULUE;ACEH;Dokumentasi;Akibat hujan yang sangat tinggi;;;;0;123;0
70;1175 105 2023 09 019 1;1175;19/09/23;PUTING BELIUNG;Kec. Simpang Kiri Gampong Suka Makmur Gampong Lae Oram Gampong Subulussalam;KOTA SUBULUSSALAM;ACEH;Dokumentasi;Dipicu  cuaca extrim (angin kencang) yang melanda Kota Subulussalam sehingga mengakibatkan rusaknya rumah masyarakat.;;;;101;;2
71;8206 101 2023 09 019 1;8206;19/09/23;BANJIR;Kec. Maba Ds. Buli;HALMAHERA TIMUR;MALUKU UTARA;Dokumentasi;Hujan dengan intensitas tinggi dan durasi yang cukup lama mengakibatkan meluapnya kali Wateleo;;;;0;19;0
72;1214 101 2023 09 019 1;1214;19/09/23;BANJIR;Kec. Luahagundre  Kec. Fanayama Kec. Teluk Dalam Kec. Toma Kec. Onolalu;NIAS SELATAN;SUMATERA UTARA;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi pada hari Selasa, 19 September 2023, Pukul. 13.00 WIB;1;;;0;100;0
73;3604 107 2023 09 018 1;3604;18/09/23;KEBAKARAN HUTAN DAN LAHAN;kec. Kragilan KM 60 Ciujung Arah Jakarta Kec. Ciruas Jl. Raya Serang - Jkt 18, Kaserangan;SERANG;BANTEN;Dokumentasi;Penyebab kejadian tersebut belum diketahui;;;;0;;0
74;5101 106 2023 09 018 1;5101;18/09/23;KEKERINGAN;Kec. Mendoyo   Ds. Yehembang Kauh;JEMBRANA;BALI;Dokumentasi;sumber mata air yang mengecil;;;;0;;0
75;7402 106 2023 09 018 1;7402;18/09/23;KEKERINGAN;Kec. Tongkuno Ds. UP Wuna Ds. Lakologou Kec. Lohia Ds. Waara Ds. Kondongia Ds. Bolo Ds. Liangkobori Kec. Kontunaga Ds. Bungi Ds. Masalili Ds. Kontunaga Ds. LIabalano Ds. Lapodidi Ds. Mabodo Kec. Watopute Ds. Bangkali Ds. Dana Ds. Labaha Ds. Lakapodo Ds. Bangkali Barat Ds. Matarawa Ds. Wakadia Ds. Wali Kec. Batalaiworu Ds. Laiworu;MUNA;SULAWESI TENGGARA;Dokumentasi;Kemarau Panjang;;;;0;;0
76;1504 107 2023 09 018 1;1504;18/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Muara Bulian  Ds. Singkawang;BATANGHARI;JAMBI;Dokumentasi;pembukaan lahan;;;;0;;0
77;3314 106 2023 09 018 1;3314;18/09/23;KEKERINGAN;Kec. Jenar  Ds. Ngepringan Ds. Banyurip Ds. Jenar Kec. Tangen Ds. Dukuh Ds. Ngrombo Ds. Galeh Ds. Klaten Ds. Jekawal Ds. Denanyar  Kec. Sumberlawang Ds. Ngargosari  Ds. Ngargotirto Ds. Kacangan Ds. Pagak Ds. Cepoko Ds. Jati Ds. Tlogotirto Kec. Tangen  Ds. Dukuh Ds. Ngrombo Ds. Galeh Ds. Katelan Ds. Jekawal Ds. Denanyar Kec. Miri  Ds. Gilirejo Baru Ds. Gilirejo Ds. Bagor Ds. Brojol Kec. Mondokan Ds. Pare Ds. Jekani Ds. Gemantar Ds. Sumberejo Kec. Gesi  Ds. Poleng  Ds. Srawung Ds. Slendro Ds. Gesi Kec. Sukodono Ds. Gebang Ds. Baleharjo;SRAGEN;JAWA TENGAH;Dokumentasi;Dipicu rendahnya intensitas hujan / musim kemarau;;;;0;;0
