Date,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
August 2018,Jawa Barat,19.49274196774193,0.3806451774193549,0,0,0,3,158,1,3
August 2018,Jawa Tengah,25.688441258064515,0.0870967758064516,0,0,0,3,1834,6,10
August 2018,Jawa Timur,26.00026906451613,0.0258064516129032,0,0,0,4,238,4,6
August 2018,Kalimantan Barat,26.73427429032258,4.890322693548388,0,0,0,0,145,1,3
August 2018,Kalimantan Selatan,25.296774193548387,2.0193548387096776,0,0,0,0,0,0,0
August 2018,Kalimantan Tengah,26.66263422580645,2.6870967967741937,0,0,0,0,0,0,0
August 2018,Kalimantan Timur,26.50913996774193,2.319354820967742,0,0,0,0,0,0,0
August 2018,Kalimantan Utara,24.36438158064516,8.41935500967742,0,0,0,0,0,0,0
August 2018,Kepulauan Bangka Belitung,27.25819980645161,1.296774181935484,0,0,0,0,0,0,1
August 2018,Kepulauan Riau,27.86196270967742,1.8870968193548388,0,0,0,0,0,0,0
August 2018,Lampung,26.693414064516126,0.9741935674193548,0,0,0,0,0,1,1
August 2018,Maluku,22.052016032258063,4.409677396774193,0,0,0,0,100,0,1
August 2018,Maluku Utara,24.62701606451613,6.903225972258065,0,0,0,2,0,0,1
August 2018,Nusa Tenggara Barat,23.870026612903224,1.2903226367741936,0,0,0,0,0,0,0
August 2018,Nusa Tenggara Timur,25.620968193548386,0.17419355,0,0,0,0,0,0,0
August 2018,Papua,19.010215,37.093548706451614,0,0,0,0,0,0,0
August 2018,Papua Barat,20.848924741935484,11.819354535483871,0,0,0,0,0,0,0
August 2018,Riau,26.49758093548387,4.703225788709678,0,0,0,0,0,1,1
August 2018,Sulawesi Barat,16.118951258064516,3.477419286774193,0,0,0,0,0,0,0
August 2018,Sulawesi Selatan,23.82379022580645,3.300000091935484,0,0,0,0,0,0,0
August 2018,Sulawesi Tengah,18.396773967741936,7.929032203225806,0,0,0,0,0,0,0
August 2018,Sulawesi Tenggara,25.068951903225805,1.790322604516129,0,0,0,0,35,0,1
August 2018,Sulawesi Utara,24.63534941935484,2.135483861290323,0,0,0,0,0,0,0
August 2018,Sumatera Barat,23.744623677419355,2.15483869516129,0,0,0,0,0,1,1
August 2018,Sumatera Selatan,27.931989516129036,1.599999991935484,0,0,0,0,287,0,1
August 2018,Sumatera Utara,20.376343612903227,2.919354911290323,0,1,0,0,4458,63,2
August 2018,Yogyakarta,23.973387129032258,0.1838709758064516,0,0,0,0,0,0,0
