,objectid,uid,updated,nm_balai,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,kl_dat_das,thn_data
103,159,6e819399-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Kebayoran Lama,Tanah Kusir,33.0,5.0,Tidak Diketahui,Tidak Diketahui
104,160,6e8193cd-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Bekasi Selatan,Bekasi Selatan,33.0,5.0,Tidak Diketahui,Tidak Diketahui
105,162,6e819441-ca7a-11eb-a0e3-0050568846de,1628401843000,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
106,163,788e337c-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Kubu,33.0,6.0,PENGAMAN PANTAI,2012.0
107,164,788e3538-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Keraya,33.0,6.0,PENGAMAN PANTAI,2012.0
108,165,788e35c5-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Seruyan,Seruyan Hilir,Sei Bakau,33.0,6.0,PENGAMAN PANTAI,2012.0
109,166,788e361d-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sei Cabang Barat,33.0,6.0,PENGAMAN PANTAI,2012.0
110,167,788e3664-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kapuas,Kapuas Kuala,Pematang,33.0,6.0,PENGAMAN PANTAI,2013.0
111,168,788e36a3-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kapuas,Kapuas Kuala,Pematang,33.0,6.0,PENGAMAN PANTAI,2012.0
112,169,788e36de-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Seraya,33.0,6.0,PENGAMAN PANTAI,2013.0
113,170,788e371f-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Kubu,33.0,6.0,PENGAMAN PANTAI,2013.0
114,171,788e375c-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Seruyan,Seruyan Hilir,Sei Bakau,33.0,6.0,PENGAMAN PANTAI,2013.0
115,172,788e3798-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sungai Damar,33.0,6.0,PENGAMAN PANTAI,2013.0
116,173,788e37d1-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sei Tabuk,33.0,6.0,PENGAMAN PANTAI,2013.0
