Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
1410 101 2022 012 014 1,1410,14/12/22,BANJIR,KEPULAUAN MERANTI,Riau,Dipicu curah hujan dengan intensitas tinggi disertai air pasang ROB,0,0,0,0,639,0
1108 101 2022 012 014 1,1108,14/12/22,BANJIR,ACEH BESAR,Aceh,Dipicu curah hujan dengan intensitas tinggi dan tersumbatnya drainase,0,0,0,0,33,0
2103 101 2022 012 014 1,2103,14/12/22,BANJIR,NATUNA,Kepulauan Riau,dipicu akibat hujan dengan intensitas lebat di Kep. Natuna,0,0,0,1,998,0
3314 101 2022 012 013 1,3314,13/12/22,BANJIR,SRAGEN,Jawa Tengah,"Dipicu curah hujan dengan intensitas tinggi dan meluapnya aliran sungai Mungkung, Natan dan Garuda",0,0,0,0,403,0
5207 101 2022 012 013 1,5207,13/12/22,BANJIR,SUMBAWA BARAT,Nusa Tenggara Barat,Dipicu hujan dengan intensitas tinggi,0,0,0,3,0,0
3215 101 2022 012 013 1,3215,13/12/22,BANJIR,KARAWANG,Jawa Barat,Belum Diketahui,0,0,0,0,27,0
1301 101 2022 012 013 1,1301,13/12/22,BANJIR,KEPULAUAN MENTAWAI,Sumatera Barat,Dipicu curah hujan dengan intensitas tinggi disertai drainase yang sempit mengakibatkan air meluap,0,0,0,0,223,0
7315 101 2022 012 013 1,7315,13/12/22,BANJIR,PINRANG,Sulawesi Selatan,Dipicu curah hujan dengan intensitas tinggi disertai kondisi tanah yang labil,0,0,0,0,55,0
6110 101 2022 012 012 1,6110,12/12/22,BANJIR,MELAWI,Kalimantan Barat,Dipicu terjadi hujan deras dan lama yang  mengakibatkan Sungai Bakah meluap hingga merendami perumahan penduduk di sepanjang sungai Bakah tersebut,0,0,0,0,170,0
3202 101 2022 012 012 1,3202,12/12/22,BANJIR,SUKABUMI,Jawa Barat,Dipicu curah hujan dengan intensitas tinggi,0,0,0,0,60,0
3371 101 2022 012 012 1,3371,12/12/22,BANJIR,KOTA MAGELANG,Jawa Tengah,Dipicu hujan dengan intensitas tinggi mengakibatkan drainase tidak mampu menampung debit air,0,0,0,0,5,0
1403 101 2022 012 011 1,1403,11/12/22,BANJIR,INDRAGIRI HILIR,Riau,Dipicu curah hujan dengan intensitas tinggi dan limpahan air dari Sungai Sekuyam,0,0,0,11,0,0
5207 101 2022 012 011 1,5207,11/12/22,BANJIR,SUMBAWA BARAT,Nusa Tenggara Barat,Dipicu hujan disertai angin kencang,0,0,0,0,24,0
7311 101 2022 012 010 1,7311,10/12/22,BANJIR,BONE,Sulawesi Selatan,Dipicu curah hujan yang tinggi dan mengakibatkan naiknya arus sungai,0,0,0,0,0,3
3204 101 2022 012 08 1,3204,08/12/22,BANJIR,BANDUNG,Jawa Barat,Dipicu curah hujan dengan intensitas tinggi dan durasi Hujan cukup lama,0,0,0,1,5,0
1274 101 2022 012 08 1,1274,08/12/22,BANJIR,KOTA TEBING TINGGI,Sumatera Utara,Dipicu curah hujan yg tinggi d kota Tebing Tinggi dengan durasi yang lama,0,0,0,0,310,0
6201 101 2022 012 08 1,6201,08/12/22,BANJIR,KOTAWARINGIN BARAT,Kalimantan Tengah,Dipicu hujan yang tinggi dan pasang surutnya air laut serta luapan DAS Lamandau dan sungai bengaris .,0,0,0,0,5,0
1218 101 2022 012 08 1,1218,08/12/22,BANJIR,SERDANG BEDAGAI,Sumatera Utara,Dipicu hujan yang tinggi dengan durasi yang cukup lama,0,0,0,0,18796,0
3208 101 2022 012 07 1,3208,07/12/22,BANJIR,KUNINGAN,Jawa Barat,"Hujan dengan intensitas ringan hingga lebat pada hari Rabu, 07 Desember 2022 mulai pukul 12.00 WIB s.d. pukul 21.00 WIB mengakibatkan tanggul jebol dan air meluap kepemukiman",0,0,0,0,5,0
1705 101 2022 012 07 1,1705,07/12/22,BANJIR,SELUMA,Bengkulu,Dipicu hujan dengan intensitas sedang hingga lebat disertai petir dan angin kencang berdurasi singkat.,0,0,0,0,125,0
3321 101 2022 012 07 1,3321,07/12/22,BANJIR,DEMAK,Jawa Tengah,Dipicu naiknya gelombang air laut sehingga mengakibatkan jalan Desa tergenang,0,0,0,0,2621,0
3509 101 2022 012 06 1,3509,06/12/22,BANJIR,JEMBER,Jawa Timur,Dipicu hujan intensitas sedang hingga lebat disertai angin kencang,0,0,0,0,11,0
