"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",17,2011,16754.68958073149581257,8540760.686014041298203
"IDN",18,2011,5745.61693833125552826,4382274.085555449673671
"IDN",19,2011,9380.15879164941502156,6942541.294059750480506
"IDN",20,2011,2326.45295821455807383,1246828.712829150569386
"IDN",21,2011,7815.74094713039354739,3939981.468245172169344
"IDN",22,2011,11549.10138866965283237,10033869.817233944832053
"IDN",23,2011,23156.02970288998320670,18667849.945799616089136
"IDN",24,2011,255307.38606371964729148,292220697.213356425533805
"IDN",25,2011,13855.56888178617287717,8968775.642755651749373
"IDN",26,2011,14390.21223501114749871,8612911.597552332994179
"IDN",27,2011,26195.28889173993496285,18397522.486563803655011
"IDN",28,2011,22948.40824145815789254,14606329.771448346223205
"IDN",29,2011,3116.21737236592424700,2237166.315248148427614
"IDN",30,2011,42569.79210744004230581,29910490.422197110658648
"IDN",31,2011,132284.05670703473659735,104488513.388151117190589
"IDN",32,2011,100568.91349760290715434,55030560.579333582383082
"IDN",33,2011,173.00501836333321688,106803.66265612503815
"IDN",1,2012,49395.60962446493304414,31217063.596786724362340
"IDN",2,2012,743.51642091394380214,448485.622769773811418
"IDN",3,2012,39450.87319286750467191,20573032.590195016110305
"IDN",4,2012,3286.60522312861656363,2121386.070824661707628
"IDN",5,2012,27761.14638427712636110,20154939.768586247579358
"IDN",6,2012,3928.00210358828946684,2820803.497217631942973
"IDN",7,2012,0.9179503503111437,254.02843887667279
"IDN",8,2012,152389.17661997920399772,119188756.214227239329676
"IDN",9,2012,3754.38065898924509695,2411120.541685482308227
"IDN",10,2012,2449.59333583240860533,1515216.465610955058939
"IDN",11,2012,8312.74270666747819408,5236019.677110519140654
"IDN",12,2012,312529.80242458920641074,240623552.053224495916618
"IDN",13,2012,66808.16812293271097403,44531953.496300767062306
"IDN",14,2012,218882.42300935070199232,156942475.664014538619285
"IDN",15,2012,316053.15664888785497185,239777079.398469763541023
"IDN",16,2012,9374.39793160228160610,5664585.082913148073148
"IDN",17,2012,30337.63146890732469565,15646917.258336812195213
"IDN",18,2012,9010.70608783157026403,6855599.219149572344480
"IDN",19,2012,11375.12941684921052937,8432417.740016562178244
"IDN",20,2012,3117.61917332779738019,1865688.811594944349613
"IDN",21,2012,4649.44489939422719323,2652324.747948594305704
"IDN",22,2012,13560.22425452389709620,10823496.263796855226601
"IDN",23,2012,46692.66807262892803174,40369196.747783269051633
"IDN",24,2012,346654.03682669774406352,341414081.405020367904087
"IDN",25,2012,13555.29101139189190298,9108804.107842373109882
"IDN",26,2012,16130.26792182644484587,10243829.888164717773416
"IDN",27,2012,37171.28771476519369127,27552029.918542672008079
"IDN",28,2012,23041.05991535566115776,15155901.216705237939427
"IDN",29,2012,2669.82217861438168996,1909913.466296103471830
"IDN",30,2012,36511.00269873254905780,27730274.724213548518008
"IDN",31,2012,361296.24309222209972259,269959722.555010731273337
"IDN",32,2012,89312.75538418615909597,46764160.920312215776887
"IDN",33,2012,54.80212823564996220,29351.35270594666683
"IDN",1,2013,41390.67208858972693649,23693186.548447544560774
"IDN",2,2013,396.30017784119139946,200423.136278699990204
"IDN",3,2013,17575.16869618834199049,9317868.633951648069913
"IDN",4,2013,1830.14601224552661613,1076183.771680020606359
"IDN",5,2013,14152.78417979196910536,9284475.952431894122509
"IDN",6,2013,5938.21338826219732498,4848946.272273266848460
"IDN",7,2013,0.38237668107964407,127.86649664802553
"IDN",8,2013,66706.08484885905722517,51263996.968286875386532
"IDN",9,2013,2566.08920187013084318,1535438.324098020162820
"IDN",10,2013,1179.89320019959093791,686768.028855126868417
"IDN",11,2013,2752.88441534255349994,1579284.736643989920728
"IDN",12,2013,199514.03699051777831496,156868538.327833573740569
"IDN",13,2013,35959.00576994607310755,22698015.627042210527526
"IDN",14,2013,103284.73525596510387938,73208555.543146119603968
"IDN",15,2013,179330.27382750651226349,135002090.776087662283385
"IDN",16,2013,4761.71037657434413468,2957061.507155292066789
"IDN",17,2013,5149.08043970338971049,2810199.771276664633414
"IDN",18,2013,6779.84398451724151109,5361800.785833683810179
"IDN",19,2013,4668.74850742573737085,3383983.052837967240729
"IDN",20,2013,1540.28806711436010606,787199.260282320392753
"IDN",21,2013,2105.01638531639766252,967361.859839964400150
"IDN",22,2013,7904.80281275408244571,6580169.928866241070187
"IDN",23,2013,38012.30420384651356337,33617856.252245202874538
"IDN",24,2013,156344.47530729149600706,140113425.471666097812479
"IDN",25,2013,8072.82080495882204772,5317451.727392095363585
"IDN",26,2013,9007.68368390738736878,5463047.369050417908010
"IDN",27,2013,28515.44230400600887996,21153879.682201906880807
"IDN",28,2013,15483.53552694924124307,10032613.555087456058378
"IDN",29,2013,1715.69018136590513032,1196973.038995553559416
"IDN",30,2013,22433.14813234744624454,15568589.903398523663072
"IDN",31,2013,100947.85326145053398430,76464999.807094978496787
"IDN",32,2013,53252.12072970054169012,25194098.512293857635926
"IDN",33,2013,27.43362769070638392,12922.639395383612649
"IDN",1,2014,58553.73593978491878989,35661325.030769285497307
"IDN",2,2014,907.63732115591597099,497775.038581698426865
"IDN",3,2014,41245.14604637959151616,21366808.034513329881248
"IDN",4,2014,2274.87034792221655058,1357790.632476231176279
"IDN",5,2014,20319.73037724967805133,13648859.498647588212531
"IDN",6,2014,10353.06400349141827272,7892538.140218019068006
"IDN",8,2014,77431.36303630228299580,55305626.337291600670520
"IDN",9,2014,3758.12189820295122248,2277824.194613514781624
"IDN",10,2014,2883.18371995684503408,1728738.441746670270054
"IDN",11,2014,6769.33498389026519924,4011499.997144634868459
"IDN",12,2014,291475.82166187421493246,212470155.524192460239229
"IDN",13,2014,66372.02796494889623437,41908683.837885138244832
"IDN",14,2014,197213.83868833494552384,139372488.381818134277916
"IDN",15,2014,270524.03387580783314187,201242980.6507657261097604
"IDN",16,2014,19230.07661338841028949,11571402.465151855089328
"IDN",17,2014,11364.47657249478976788,6327392.295267786157633
"IDN",18,2014,17978.60669719454265179,14157207.628649603017470
"IDN",19,2014,15222.97657621398234572,10196502.575569382718554
"IDN",20,2014,7147.73143190777879980,3669289.080313324263612
"IDN",21,2014,9175.56064848020801718,4158569.761798602576727
"IDN",22,2014,17905.02713347531021757,14508242.549216940666340
"IDN",23,2014,58753.35276866307827425,49158647.872305914127909
"IDN",24,2014,282784.97807378896198532,265083332.321218047689199
"IDN",25,2014,14213.37441383938323974,9078952.026429685806537
"IDN",26,2014,21475.69892124275114350,13800378.915223098443766
"IDN",27,2014,46762.67703766625450663,31753892.829866985656497
"IDN",28,2014,39717.02037257966842013,24878088.588797073771499
"IDN",29,2014,6875.38619919001720612,4822282.497904719042488
"IDN",30,2014,30559.42608639958745752,18985059.213954731844949
"IDN",31,2014,159551.25497715879555794,108686339.886490599048083
"IDN",32,2014,85503.43065062939168943,45213290.627092413534117
"IDN",33,2014,57.76218915288466283,28134.70272488415871
"IDN",1,2015,33968.48015345181933377,20085282.989280111951974
"IDN",2,2015,132.26602456956979082,75552.468471162384174
"IDN",3,2015,41280.96758912712087063,21789260.979099834041967
"IDN",4,2015,2663.77971262156511729,1596716.489152230121367
"IDN",5,2015,20197.29811903400841814,14048454.749220238038306
"IDN",6,2015,13286.84750906055056156,9228537.435844105129439
"IDN",7,2015,0.3826691194026693,59.35848382899121
"IDN",8,2015,60610.51276617856984086,41951567.910252449989328
"IDN",9,2015,3502.07737253064800657,2098709.568518152207804
"IDN",10,2015,1808.26682039208549733,1094239.276511056999129
"IDN",11,2015,2901.17393826631256199,1695961.753967674159352
"IDN",12,2015,267807.31354749458900918,194939398.981178505363462
"IDN",13,2015,73379.32987020478423942,49810419.836128248142042
"IDN",14,2015,213841.09046961877143665,162412123.681551993598399
"IDN",15,2015,231723.73151736300048792,174641303.171184661943254
"IDN",16,2015,5868.67073000323314723,3304560.973069861203166
"IDN",17,2015,14132.61822092879976503,8056686.654214324686136
"IDN",18,2015,45449.97683652560749922,35196145.230760180767808
"IDN",19,2015,48978.87002280720805205,37644084.279060900539766
"IDN",20,2015,4435.12917054275990823,2349531.326203886587451
"IDN",21,2015,7421.91494304619210181,3384514.487166472755750
"IDN",22,2015,42461.25418930888121933,35364995.243485259398433
"IDN",23,2015,82032.01881577181507196,61486574.024504518202668
